Forecast horizon,Window = 9,Window = 10,Window = 11,Window = 12,Window = 13
1st,3.5413239585962613,2.0944687994840603,4.152525584295934,2.7922247848468453,2.611857318914603
3rd,3.543783174453755,1.507521995338181,2.907504745528423,2.233332134840907,2.174916288428132
6th,3.150733756698511,1.628751866935902,2.758279789637617,2.274421975088348,2.08457646835838
9th,3.529840454848909,1.5825622578268574,3.712592897275192,2.1684453855313905,2.4552227758389558
12th,3.0743144523899364,1.5157448352142542,3.3709926806041457,2.4467217411223032,2.005238239759232
Overall,3.498704654172972,1.753135265538352,3.536330717227288,2.53956738771391,2.270564457984181
