Forecast horizon,Window = 9,Window = 10,Window = 11,Window = 12,Window = 13
1st,3.5517910347578576,2.0841981762007853,4.148146274693711,2.7684949357105757,2.5992720456767198
3rd,3.5645221381843144,1.5225291955305114,2.9004775553352884,2.2403414531163177,2.1738228874739978
6th,3.178023713585447,1.6316722786011764,2.76252940649254,2.270532120784961,2.0815476009254468
9th,3.570482098450158,1.598264857541104,3.710457238217459,2.168598933415377,2.47018211691211
12th,3.121427619784551,1.5132445179253744,3.3750652071153877,2.422563278654794,2.0045943008659868
Overall,3.5243403355908582,1.760331516160329,3.537110137608117,2.5341605630655075,2.2742320763595085
