x,y,Date,Value,Year
103.67533379436,1.33074438505702,Mar-Apr 2000,25.6949656350272,2000
103.67533379436,1.33155456034814,Mar-Apr 2000,24.7928033189632,2000
103.67533379436,1.33236473563925,Mar-Apr 2000,24.6928090091336,2000
103.67533379436,1.33317491093037,Mar-Apr 2000,27.7573163661064,2000
103.676143969651,1.33074438505702,Mar-Apr 2000,24.6057097117106,2000
103.676143969651,1.33155456034814,Mar-Apr 2000,24.5688751153144,2000
103.676143969651,1.33236473563925,Mar-Apr 2000,24.5653205963492,2000
103.676143969651,1.33317491093037,Mar-Apr 2000,24.73934029175,2000
103.676143969651,1.33398508622149,Mar-Apr 2000,24.6956012458372,2000
103.676143969651,1.3347952615126,Mar-Apr 2000,24.9831571908478,2000
103.676954144942,1.33074438505702,Mar-Apr 2000,24.0783873664008,2000
103.676954144942,1.33155456034814,Mar-Apr 2000,23.7066578335232,2000
103.676954144942,1.33236473563925,Mar-Apr 2000,24.5004186296049,2000
103.676954144942,1.33317491093037,Mar-Apr 2000,24.6241888379555,2000
103.676954144942,1.33398508622149,Mar-Apr 2000,24.7170642061921,2000
103.676954144942,1.3347952615126,Mar-Apr 2000,25.0204498028914,2000
103.676954144942,1.33560543680372,Mar-Apr 2000,25.1978672860912,2000
103.676954144942,1.33641561209483,Mar-Apr 2000,25.3530024474026,2000
103.676954144942,1.33722578738595,Mar-Apr 2000,25.5060445399318,2000
103.677764320233,1.33074438505702,Mar-Apr 2000,24.8364807173406,2000
103.677764320233,1.33155456034814,Mar-Apr 2000,21.5617353651259,2000
103.677764320233,1.33236473563925,Mar-Apr 2000,23.8397990332709,2000
103.677764320233,1.33317491093037,Mar-Apr 2000,24.784168758783,2000
103.677764320233,1.33398508622149,Mar-Apr 2000,25.0478525031956,2000
103.677764320233,1.3347952615126,Mar-Apr 2000,25.21717952984,2000
103.677764320233,1.33560543680372,Mar-Apr 2000,25.4624612556528,2000
103.677764320233,1.33641561209483,Mar-Apr 2000,25.4515272076357,2000
103.677764320233,1.33722578738595,Mar-Apr 2000,25.8314083922464,2000
103.677764320233,1.32993420976591,Mar-Apr 2000,26.5637845993042,2000
103.677764320233,1.33803596267707,Mar-Apr 2000,25.89773199783,2000
103.677764320233,1.33884613796818,Mar-Apr 2000,25.8370770790498,2000
103.678574495524,1.33074438505702,Mar-Apr 2000,26.2715725368924,2000
103.678574495524,1.33155456034814,Mar-Apr 2000,25.6535426245795,2000
103.678574495524,1.33236473563925,Mar-Apr 2000,26.4670740763346,2000
103.678574495524,1.33317491093037,Mar-Apr 2000,25.4299968010362,2000
103.678574495524,1.33398508622149,Mar-Apr 2000,25.7179610634604,2000
103.678574495524,1.3347952615126,Mar-Apr 2000,25.6797994525509,2000
103.678574495524,1.33560543680372,Mar-Apr 2000,25.9247539222171,2000
103.678574495524,1.33641561209483,Mar-Apr 2000,25.824608452572,2000
103.678574495524,1.33722578738595,Mar-Apr 2000,25.8525268422626,2000
103.678574495524,1.32993420976591,Mar-Apr 2000,26.8772722880046,2000
103.678574495524,1.33803596267707,Mar-Apr 2000,25.8929498640503,2000
