x,y,f_1,f_3,f_4,f_5,f_6,Avg_RMSE
103.964566373288,1.35045865047418,5.69356879636161,1.398950669774063,4.529727323705508,1.0686827717054932,4.4060139831033105,3.419388708929997
103.964566373288,1.35126882576529,5.74118876639259,1.179697290546521,4.246011961335299,0.973367476688086,4.9211172384007895,3.412276546672657
103.964566373288,1.35207900105641,5.53092307072809,1.013962250471721,4.159288591644405,0.849485752719648,4.99878023390621,3.3104879798940146
103.964566373288,1.35288917634753,5.671044110683567,1.088321919428484,4.229621924141217,1.0467189945504423,5.0119016074927885,3.4095217112592997
103.965376548579,1.34883829989195,5.704840588180023,1.543900709867799,4.46940994162453,1.3904177189957068,4.310286459213966,3.483771083576405
103.965376548579,1.34964847518306,5.74639537465227,1.3424706328332263,4.558785626962756,1.2266453660410015,4.429791510435823,3.4608177021850155
103.965376548579,1.35045865047418,6.220106682163241,1.3875945796830216,4.578546079891144,1.0135298347363424,4.998845248847708,3.639724485064291
103.965376548579,1.35126882576529,6.569303521441821,1.1921172201747297,4.283765874219853,0.6782600057114507,5.109894362896036,3.566668196888778
103.965376548579,1.35207900105641,5.876997133271274,0.9533135610403001,4.258219461875711,1.0402488798398188,5.342552741470318,3.4942663554994846
103.965376548579,1.35288917634753,5.79085183109304,0.866164985160669,3.886207384896405,0.8897470047203448,5.146777287192052,3.315949698612502
103.96618672387,1.34802812460083,5.444082546432163,1.0061890309558592,3.8099866187708926,0.8009432924440425,4.26561896777304,3.0653640912751996
103.96618672387,1.34883829989195,6.047455476374601,1.493224610211474,4.536543378216692,1.3306514245984893,4.708102366552023,3.623195451190656
103.96618672387,1.34964847518306,6.250443528058849,1.1815148354568272,4.552757943996838,1.5467553416444062,4.92787727332507,3.691869784496398
103.96618672387,1.35045865047418,5.781299470570492,0.2566486448260612,4.012174064832273,1.210627273026752,4.940906129061844,3.2403311164634845
103.96618672387,1.35126882576529,6.386739197022546,0.9351890264390974,4.300151013977118,1.2835990713855807,5.19902756481002,3.6209411747268723
103.96618672387,1.35207900105641,6.114552334291151,1.0781796833535502,4.047974954761731,1.4880003010556706,5.217315577228543,3.589204570138129
103.96618672387,1.35288917634753,5.778489239220232,0.8198552814343394,3.8325550584425656,1.2919830148165978,4.999649386483693,3.3445063960794856
103.96618672387,1.35369935163864,5.88353537036398,0.7548757178817596,3.8261757769291087,1.1981183443509487,5.233731725295339,3.379287386964227
103.966996899161,1.3464077740186,5.799960244468313,1.4041386951472177,3.733321796429916,0.9402034000866202,4.563536521565858,3.288232131539585
103.966996899161,1.34721794930971,5.911356201735362,1.5323786745529873,3.8549107877279205,0.9243387646799874,4.496737030174099,3.343944291774071
103.966996899161,1.34802812460083,5.9027238557993975,0.809325239089592,3.844950526407519,1.2880204899254508,4.993342088072957,3.3676724398589832
103.966996899161,1.34883829989195,6.2257067748007415,0.6039411978633673,3.758242929465016,1.5835505930533955,5.33715694406871,3.501719687850246
103.966996899161,1.34964847518306,5.87568106101298,0.47781636251328763,4.200282685445458,1.4735113906534067,5.272772177882569,3.4600127355015404
103.966996899161,1.35045865047418,6.1497048790638615,0.948243637555187,4.178929350846804,1.4763546333537043,5.190917733882877,3.588830046940487
103.966996899161,1.35126882576529,6.380379974123191,0.9621860715165838,4.165061761367841,1.6536830653052839,5.276983863775914,3.6876589472177628
103.966996899161,1.35207900105641,6.491074009198552,1.424890013565026,4.26123226509354,2.5591045970769564,5.36365457401801,4.019991091790417
103.966996899161,1.35288917634753,6.286519589433279,1.1457597759372433,3.969691773621701,2.8836853237790763,5.567513069735128,3.9706339065012854
103.966996899161,1.35369935163864,5.915785436088111,0.7985444626624627,3.76654020259776,1.2174422472237225,5.247532619365412,3.389168993587494
103.967807074453,1.34478742343637,5.548003649617645,1.7463650728459648,3.804494606961967,0.7138425592086719,4.270995243783268,3.216740226483503
103.967807074453,1.34559759872748,5.6225966210302545,1.6372319046281838,3.803426345665045,0.8221108310087715,4.381444946828825,3.253362129832216
103.967807074453,1.3464077740186,5.398718141077083,0.9890533022127386,3.3201222689820433,0.6579435725689997,4.454819221281188,2.9641313012244104
103.967807074453,1.34721794930971,5.915414395103877,1.0487543013803737,3.607227243590007,1.1434855529634476,4.961184146937548,3.3352131279950505
103.967807074453,1.34802812460083,5.727646888469067,0.00895081839314571,2.998560182169303,1.2684756947446232,5.461838109711703,3.0930943386975684
103.967807074453,1.34883829989195,5.387830385846009,1.1143534008731812,2.046347219052265,1.420978274275722,5.713448059486705,3.1365914679067766
103.967807074453,1.34964847518306,6.568031618636823,0.9172795585351317,3.841747788153519,2.136076667217459,5.405477194886185,3.7737225654858237
103.967807074453,1.35045865047418,6.342976487270384,1.0507467327197588,3.8476575643151314,1.7511133938875574,5.397002463638856,3.6778993283663377
103.967807074453,1.35126882576529,6.536050033910996,1.2947683608347305,4.17615723410179,1.9299895301213397,5.40233087872841,3.8678592075394533
103.967807074453,1.35207900105641,6.223828216629492,0.8734899450584166,3.866813895965567,2.5717526819214704,5.435043416573389,3.7941856312296673
103.967807074453,1.35288917634753,6.3476465852901605,1.0529597365788916,3.988164100174984,1.8834208946603077,5.9385704445060306,3.842152352242075
103.967807074453,1.35369935163864,6.062191197234959,0.9953625579314824,4.041919048336645,1.3602107294682177,5.6344547170822565,3.6188276500107124
103.968617249744,1.34397724814525,5.098412727599669,1.2390345077937006,3.311980872504872,0.01698534883079006,3.7724861697749255,2.6877799253007915
103.968617249744,1.34478742343637,5.408753195939212,1.3742667303930922,3.641023749967978,0.3840722365643927,4.287926511262871,3.0192084848255094
103.968617249744,1.34559759872748,6.09778942366632,1.7856383392127206,4.090421990710908,2.430657757504214,4.922264401158923,3.8653543824506174
