x,y,Date,Value
103.749869921142,1.29644696439978,Mar-Apr 2000,25.7129192352295
103.734476590611,1.3280438007533,Mar-Apr 2000,24.5602593412142
103.745008869396,1.31589117138656,Mar-Apr 2000,22.6756625705295
103.730425714156,1.35153888419567,Mar-Apr 2000,27.6910915374756
103.736096941193,1.30535889260205,Mar-Apr 2000,31.3212110731337
103.732046064738,1.35153888419567,Mar-Apr 2000,27.3316853841146
103.721513785953,1.31346064551321,Mar-Apr 2000,27.1576923618505
103.729615538864,1.32642345017107,Mar-Apr 2000,23.9901173909505
103.729615538864,1.33695572895558,Mar-Apr 2000,23.9869234297011
103.723134136536,1.34100660541116,Mar-Apr 2000,24.3376140594482
103.738527467067,1.30211819143759,Mar-Apr 2000,31.3172408209907
103.736907116485,1.31021994434875,Mar-Apr 2000,29.5008612738715
103.731235889447,1.34748800774009,Mar-Apr 2000,27.4257852766249
103.741768168231,1.34424730657562,Mar-Apr 2000,28.5461716122097
103.725564662409,1.30130801614647,Mar-Apr 2000,26.9658083234515
103.742578343522,1.32156239842437,Mar-Apr 2000,26.6158625284831
103.736907116485,1.33614555366446,Mar-Apr 2000,24.7603107743038
103.737717291776,1.33452520308223,Mar-Apr 2000,24.5391337857976
103.731235889447,1.31751152196879,Mar-Apr 2000,22.0714462736737
103.745819044687,1.32561327487995,Mar-Apr 2000,25.9850771162245
103.727995188282,1.31670134667768,Mar-Apr 2000,23.5347995758057
103.721513785953,1.32237257371549,Mar-Apr 2000,26.6357345581055
103.728805363573,1.30616906789317,Mar-Apr 2000,25.432299794157
103.724754487118,1.3029283667287,Mar-Apr 2000,28.0417065090603
103.728805363573,1.34586765715785,Mar-Apr 2000,25.6515975795397
103.717462909498,1.30940976905763,Mar-Apr 2000,29.0176005190124
103.732856240029,1.32723362546219,Mar-Apr 2000,24.096111851707
103.74095799294,1.31832169725991,Mar-Apr 2000,22.9732642703586
103.724754487118,1.31670134667768,Mar-Apr 2000,28.1171012454563
103.745008869396,1.33614555366446,Mar-Apr 2000,25.8456333303171
103.730425714156,1.31508099609545,Mar-Apr 2000,22.5836827914055
103.737717291776,1.34262695599339,Mar-Apr 2000,30.4282930162218
103.749869921142,1.33128450191777,Mar-Apr 2000,27.7645556131999
103.712601857751,1.31346064551321,Mar-Apr 2000,26.4582271917855
103.738527467067,1.33452520308223,Mar-Apr 2000,24.3552357304155
103.730425714156,1.33614555366446,Mar-Apr 2000,25.7013634575738
103.734476590611,1.33695572895558,Mar-Apr 2000,25.2608042822944
103.73366641532,1.30940976905763,Mar-Apr 2000,31.0082672842939
103.719893435371,1.32318274900661,Mar-Apr 2000,28.6645935906304
103.738527467067,1.32480309958884,Mar-Apr 2000,23.6573212941488
103.751490271725,1.30859959376652,Mar-Apr 2000,23.8420524597168
103.75554114818,1.29968766556424,Mar-Apr 2000,26.6722669591049
103.734476590611,1.34019643012004,Mar-Apr 2000,26.9869367811415
103.745008869396,1.34019643012004,Mar-Apr 2000,26.5027508241765
103.73366641532,1.34181678070227,Mar-Apr 2000,27.2985521952311
103.723944311827,1.30859959376652,Mar-Apr 2000,31.5570176442464
103.732046064738,1.34424730657562,Mar-Apr 2000,26.9437272813585
103.736907116485,1.34667783244897,Mar-Apr 2000,27.7596750259399
103.732046064738,1.34262695599339,Mar-Apr 2000,28.1865429348416
103.722323961244,1.30373854201982,Mar-Apr 2000,28.2354015774197
103.751490271725,1.30130801614647,Mar-Apr 2000,31.7554223802355
103.714222208333,1.31346064551321,Mar-Apr 2000,26.174664203616
103.734476590611,1.33533537837335,Mar-Apr 2000,23.7472303178575
103.731235889447,1.3077894184754,Mar-Apr 2000,26.6813295152452
103.7263748377,1.31427082080433,Mar-Apr 2000,25.3807305230035
103.73366641532,1.33209467720888,Mar-Apr 2000,22.8985214233398
103.73366641532,1.3126504702221,Mar-Apr 2000,27.6741096007307
103.74824957056,1.34019643012004,Mar-Apr 2000,25.8410235510932
103.718273084789,1.31346064551321,Mar-Apr 2000,31.5313114590115
103.735286765902,1.34424730657562,Mar-Apr 2000,29.0802495744493
103.740147817649,1.34505748186674,Mar-Apr 2000,27.1790479024251
103.738527467067,1.32642345017107,Mar-Apr 2000,24.028727795865
103.746629219978,1.29725713969089,Mar-Apr 2000,23.9957222938538
103.725564662409,1.34505748186674,Mar-Apr 2000,23.9860499432438
103.753920797598,1.30130801614647,Mar-Apr 2000,30.3873808119032
103.743388518813,1.33533537837335,Mar-Apr 2000,25.7533212302325
103.749869921142,1.30859959376652,Mar-Apr 2000,24.2320200524747
103.743388518813,1.33938625482893,Mar-Apr 2000,26.2391751271525
103.737717291776,1.32156239842437,Mar-Apr 2000,21.4843949211968
103.749059745851,1.32237257371549,Mar-Apr 2000,27.9105875227186
103.749059745851,1.32399292429772,Mar-Apr 2000,26.7338593800863
103.737717291776,1.30130801614647,Mar-Apr 2000,27.3673932817247
103.74824957056,1.34100660541116,Mar-Apr 2000,26.4930337270101
103.710981507169,1.3126504702221,Mar-Apr 2000,26.449496637584
103.732046064738,1.34181678070227,Mar-Apr 2000,26.835277557373
103.742578343522,1.3077894184754,Mar-Apr 2000,22.3123149871826
103.745819044687,1.32399292429772,Mar-Apr 2000,25.5755767822266
103.750680096433,1.31832169725991,Mar-Apr 2000,23.8919162750244
103.739337642358,1.34100660541116,Mar-Apr 2000,28.1499930487739
103.743388518813,1.31103011963987,Mar-Apr 2000,22.1626673804389
103.745008869396,1.33128450191777,Mar-Apr 2000,23.6580547870296
103.736907116485,1.3029283667287,Mar-Apr 2000,22.94995964898
103.722323961244,1.31508099609545,Mar-Apr 2000,29.1411685943604
103.723134136536,1.31994204784214,Mar-Apr 2000,29.905690934923
103.7263748377,1.32966415133553,Mar-Apr 2000,26.7068574693468
103.722323961244,1.31103011963987,Mar-Apr 2000,28.4761977725559
103.721513785953,1.32318274900661,Mar-Apr 2000,27.4403400421143
103.73366641532,1.32966415133553,Mar-Apr 2000,23.2149933711752
103.737717291776,1.34586765715785,Mar-Apr 2000,27.6308731079102
103.736907116485,1.33938625482893,Mar-Apr 2000,27.3213435278998
103.736096941193,1.34262695599339,Mar-Apr 2000,28.4222922854953
103.742578343522,1.31427082080433,Mar-Apr 2000,22.5289338429769
103.735286765902,1.3280438007533,Mar-Apr 2000,24.0698835584852
103.727995188282,1.30697924318429,Mar-Apr 2000,23.7358628871632
103.73366641532,1.32480309958884,Mar-Apr 2000,24.8711131596216
103.728805363573,1.32561327487995,Mar-Apr 2000,25.5282813178168
103.744198694105,1.30859959376652,Mar-Apr 2000,22.1968665652805
103.740147817649,1.33371502779111,Mar-Apr 2000,24.4105822403352
103.710981507169,1.30049784085536,Mar-Apr 2000,23.9910399119059
103.736096941193,1.30697924318429,Mar-Apr 2000,31.5418860117594
103.7263748377,1.30211819143759,Mar-Apr 2000,27.5488529205322
103.724754487118,1.30535889260205,Mar-Apr 2000,25.182682526003
103.728805363573,1.30454871731094,Mar-Apr 2000,25.4247238611641
103.722323961244,1.31670134667768,Mar-Apr 2000,29.4651387532552
