"x","y","period","avg_LST"
103.710171331878,1.3077894184754,"Mar-Apr 2013",24.3634963035583
103.710171331878,1.30859959376652,"Mar-Apr 2013",26.2314840952555
103.710171331878,1.30940976905763,"Mar-Apr 2013",27.2355088127984
103.710171331878,1.31021994434875,"Mar-Apr 2013",26.8401809268528
103.710171331878,1.31103011963987,"Mar-Apr 2013",26.4303051630656
103.710171331878,1.31184029493098,"Mar-Apr 2013",26.3950993220011
103.710171331878,1.3126504702221,"Mar-Apr 2013",26.7980013953315
103.710171331878,1.31346064551321,"Mar-Apr 2013",26.2860435909695
103.710171331878,1.31427082080433,"Mar-Apr 2013",25.7260398864746
103.710981507169,1.29725713969089,"Mar-Apr 2013",21.1670703887939
103.710981507169,1.29806731498201,"Mar-Apr 2013",21.2799212137858
103.710981507169,1.29887749027313,"Mar-Apr 2013",21.5736300150553
103.710981507169,1.29968766556424,"Mar-Apr 2013",22.0768527984619
103.710981507169,1.30049784085536,"Mar-Apr 2013",22.4508616129557
103.710981507169,1.30130801614647,"Mar-Apr 2013",22.5122032165527
103.710981507169,1.30211819143759,"Mar-Apr 2013",22.4494018554688
103.710981507169,1.30697924318429,"Mar-Apr 2013",22.6318702697754
103.710981507169,1.3077894184754,"Mar-Apr 2013",23.2361726760864
103.710981507169,1.30859959376652,"Mar-Apr 2013",25.0062603420681
103.710981507169,1.30940976905763,"Mar-Apr 2013",26.5754913753933
103.710981507169,1.31021994434875,"Mar-Apr 2013",26.6818114386665
103.710981507169,1.31103011963987,"Mar-Apr 2013",26.8883961571587
103.710981507169,1.31184029493098,"Mar-Apr 2013",26.8067169189453
103.710981507169,1.3126504702221,"Mar-Apr 2013",26.900090959337
103.710981507169,1.31346064551321,"Mar-Apr 2013",26.782229953342
103.710981507169,1.31427082080433,"Mar-Apr 2013",25.7523288726807
103.71179168246,1.29725713969089,"Mar-Apr 2013",21.397958278656
103.71179168246,1.29806731498201,"Mar-Apr 2013",21.405553817749
103.71179168246,1.29887749027313,"Mar-Apr 2013",21.8118931452433
103.71179168246,1.29968766556424,"Mar-Apr 2013",22.9990015029907
103.71179168246,1.30049784085536,"Mar-Apr 2013",23.7245015038384
103.71179168246,1.30130801614647,"Mar-Apr 2013",23.8955862257216
103.71179168246,1.30211819143759,"Mar-Apr 2013",23.8985199398465
103.71179168246,1.3029283667287,"Mar-Apr 2013",23.8780725267198
103.71179168246,1.30373854201982,"Mar-Apr 2013",23.8144406212701
103.71179168246,1.30454871731094,"Mar-Apr 2013",23.6660736931695
103.71179168246,1.30535889260205,"Mar-Apr 2013",23.5191569858127
103.71179168246,1.30616906789317,"Mar-Apr 2013",23.4244940016005
103.71179168246,1.30697924318429,"Mar-Apr 2013",23.1224742465549
103.71179168246,1.3077894184754,"Mar-Apr 2013",23.0230096181234
103.71179168246,1.30859959376652,"Mar-Apr 2013",24.088024684361
103.71179168246,1.30940976905763,"Mar-Apr 2013",25.5963045756022
103.71179168246,1.31021994434875,"Mar-Apr 2013",26.5141311221653
103.71179168246,1.31103011963987,"Mar-Apr 2013",27.0401460859511
103.71179168246,1.31184029493098,"Mar-Apr 2013",27.2136847178141
103.71179168246,1.3126504702221,"Mar-Apr 2013",26.7397420671251
103.71179168246,1.31346064551321,"Mar-Apr 2013",26.5436030493842
103.71179168246,1.31427082080433,"Mar-Apr 2013",25.6315158208211
103.712601857751,1.29968766556424,"Mar-Apr 2013",24.5809157689412
103.712601857751,1.30049784085536,"Mar-Apr 2013",25.5102878146701
103.712601857751,1.30130801614647,"Mar-Apr 2013",25.7372358110216
103.712601857751,1.30211819143759,"Mar-Apr 2013",25.7383660210503
103.712601857751,1.3029283667287,"Mar-Apr 2013",25.855643802219
103.712601857751,1.30373854201982,"Mar-Apr 2013",25.9427558051215
103.712601857751,1.30454871731094,"Mar-Apr 2013",25.8135916392008
103.712601857751,1.30535889260205,"Mar-Apr 2013",25.4835703108046
103.712601857751,1.30616906789317,"Mar-Apr 2013",24.7307287851969
103.712601857751,1.30697924318429,"Mar-Apr 2013",23.4783706665039
103.712601857751,1.3077894184754,"Mar-Apr 2013",22.8952821095784
103.712601857751,1.30859959376652,"Mar-Apr 2013",24.3195983039008
103.712601857751,1.30940976905763,"Mar-Apr 2013",25.9965640174018
103.712601857751,1.31021994434875,"Mar-Apr 2013",26.2907655504015
103.712601857751,1.31103011963987,"Mar-Apr 2013",26.4630353715685
103.712601857751,1.31184029493098,"Mar-Apr 2013",26.7645761701796
103.712601857751,1.3126504702221,"Mar-Apr 2013",25.8296580844455
103.712601857751,1.31346064551321,"Mar-Apr 2013",25.5501079559326
103.712601857751,1.31427082080433,"Mar-Apr 2013",25.1119060516357
103.713412033042,1.29968766556424,"Mar-Apr 2013",24.8487240473429
103.713412033042,1.30049784085536,"Mar-Apr 2013",25.855794482761
103.713412033042,1.30130801614647,"Mar-Apr 2013",26.1552051968045
103.713412033042,1.30211819143759,"Mar-Apr 2013",26.4286539289686
103.713412033042,1.3029283667287,"Mar-Apr 2013",26.6525101131863
103.713412033042,1.30373854201982,"Mar-Apr 2013",26.7255208757189
103.713412033042,1.30454871731094,"Mar-Apr 2013",26.6511012183295
103.713412033042,1.30535889260205,"Mar-Apr 2013",26.1698434617784
103.713412033042,1.30616906789317,"Mar-Apr 2013",24.8212837643094
103.713412033042,1.30859959376652,"Mar-Apr 2013",25.1745045979818
103.713412033042,1.30940976905763,"Mar-Apr 2013",26.7346789042155
103.713412033042,1.31021994434875,"Mar-Apr 2013",26.2953802744548
