"Window","Horizon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","Window"
"Window_9","1",2.82681549998242,2.45142499843047,2.67176923311301,2.67859668147207,4.32478321465934,3.48798329219255,3.07104841775731,3.16792524159982,2.93979946713808,2.40023830732708,2.78970205345052,2.41694741811293,2.77592790993329,2.62306687719385,2.89149822405873,2.4245680410965,3.53302807788052,2.69756508907667,3.72484942948805,4.05535690478787,2.8422160928483,3.25075026919314,3.12357089967837,3.28542576793684,2.9723413783866,2.86353471445746,3.64620907880326,3.2872292554176,2.450480094718,3.64137206539843,"Window_9"
"Window_9","3",2.72631769291731,2.58377693299946,2.44933743741705,2.70460189273961,5.0916851504529,3.98530478005971,2.95888534320266,3.6363805571528,3.4349583750436,2.16451820451655,2.86207323348694,1.98207766007046,2.97843937550611,3.19274778697141,2.96184766894333,3.2236849545888,3.33091763520475,3.03326776507702,3.96338408817938,4.24920796525066,3.16345174836174,4.11978753515493,2.92000830915639,3.99492545185644,2.94457651948537,2.71258938910004,3.80613942290691,2.79966644219911,2.90235567614445,3.65518119016494,"Window_9"
"Window_9","6",2.72140272992523,2.5745747681494,2.34561565249633,2.64321042354272,4.78756365369041,4.12871553549012,2.93692009462662,3.30285971839617,2.91454519151953,2.10942297889653,2.93202167175775,1.97452865484863,2.67157038027937,3.25935688349128,2.72839927458869,2.67893758636091,3.74128837980842,3.0455669001125,3.81621085139689,4.33328229144315,3.05213394946745,3.64492701651874,2.88849332028422,3.76851573548036,2.96448137302233,2.79379940478615,3.22004051026441,3.05787288265376,2.5800631395163,3.36557709435394,"Window_9"
"Window_9","9",2.10808616976341,1.94892860934098,1.70024463143857,2.01417005293205,3.8988638292817,2.60936254135419,2.74124907336301,2.70990985294798,2.3272986736533,1.93943477222022,1.90471864773739,1.74146293140308,2.27146150355272,2.32739607016937,2.54896372873564,1.71098993724642,2.94015815702253,2.20229339306595,3.03037611150286,3.02846103903067,2.71217627703682,2.89050102324785,2.55925382044115,2.8707996036572,2.28855787453946,2.51362697128787,3.46339452830863,2.63734635654266,2.11852555300624,3.21921568459697,"Window_9"
"Window_9","12",2.58602421643599,1.8066954778088,3.05607934559758,1.75712650863143,3.44992184220133,3.41432318305609,3.14930447909776,2.36583304215735,2.03868997591896,2.42540167175658,2.85548942190275,2.52534415256281,2.06068189838143,1.95477301376176,1.79403238140369,1.60693240831088,3.31957553579,2.36495652955589,3.17059620637619,3.79116283285133,2.17064221879783,2.63133425956055,3.17719557123663,3.02323510686221,3.15548815908303,2.83980827500667,3.40358998028261,3.38545124467232,2.24990650894793,2.59677042954557,"Window_9"
"Window_9","Overall",2.03544225097835,1.50222376394036,1.27292421188533,1.8406252927525,2.65040018985414,2.16465969957704,1.62872729056005,1.70198419908155,1.36517503317431,1.85869800879287,1.82932599947262,1.2479421884597,1.42849292445696,1.12267561317107,2.10546365252178,1.38110949747122,2.51018005412988,1.61277882808188,2.43021480128796,2.64885938055966,1.67612062542954,1.87187141065702,1.94882493287379,2.09870170613107,1.65411851984656,1.28929283860008,3.24146886262178,2.08962633200962,1.23605116416984,2.44950995282403,"Window_9"
"Window_10","1",3.25430398791688,2.85432868693041,2.4444637973292,3.18519229380261,4.7085722532383,3.83751192619854,3.30843539690071,4.08007191139301,3.64066381920984,2.25195978295025,2.94583174359492,2.44159035738608,3.24657813471122,3.14034052727728,3.48953007939964,2.97805863804036,4.15850511571926,3.38073564579342,4.20672523002525,4.57093740779284,3.37128658685747,4.2223200733422,3.20113378813718,3.81791513859931,3.18606128305169,3.38170114598399,3.8716071994707,3.72905601578627,2.63620121626655,4.45405649811863,"Window_10"
"Window_10","3",2.5484600563616,1.97657208981183,1.8316666158343,2.46866693233,3.84169358428141,3.29872634526079,2.59053137024141,3.48710134172874,3.88013274951054,2.10324671523294,2.19143265075892,1.70896298797852,3.16379712350824,2.94963866399144,2.66335452186951,2.04573580307646,3.42157405088461,2.96158223733828,3.44522569405761,3.40424718119928,2.24795730517072,4.64573292354831,2.21809043476302,3.41162137281675,2.64612832900456,3.07559103080425,3.63699102406861,2.36671210310883,2.07209804425548,3.84847170372424,"Window_10"
"Window_10","6",2.54884468478998,2.03444365546992,1.39072226575921,2.26868329271098,4.13851512358175,3.05899475500235,2.31882198139493,3.72995946946059,3.30544612220059,1.80427574813094,2.30994857827829,1.37946952076728,2.85483541987893,2.82664588990595,2.78711919317667,2.16304185831102,3.14346896980661,2.7647923592622,3.38995275059598,3.42511944327269,2.37796546909351,4.48609865245762,2.08800231452875,3.40890005967471,2.2587447565968,2.74770754986581,3.49252894724162,1.95089826794601,2.33291902186158,3.58069572833376,"Window_10"
"Window_10","9",2.22017245843527,2.15411547103732,1.52476756831896,2.70496916957429,4.19023252951787,2.31455311635533,2.26777981335743,3.21825191565348,2.422825623458,1.4791920530742,1.73795396979402,1.62302910181058,2.91257240367011,2.40355373319685,3.41439764259,2.04055686305602,3.6777100048934,2.41248881716435,2.93054995933016,3.61754539849804,2.59316538056497,3.16128843569712,2.64239031081925,2.54568175569951,2.04974738375748,2.61661848535861,3.06318372001051,2.62634750892667,2.16552539058986,2.84366062819227,"Window_10"
