"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1",5.10223399932703,4.92709257987852,5.08729672746252,5.24971109201639,7.40974423498225,6.52106647594557,5.53465911242672,6.77834597522317,6.20705041387895,4.22570762929098,5.91530521685831,5.07346948566937,6.08789539222208,5.47557303754462,6.21318210962604,4.72775105776949,5.29784113511277,5.42228603301238,6.47449813627614,7.01260539332665,6.06694687689769,7.25273947519401,5.77560697928116,5.91210460494775,5.77307872678006,5.46824474107269,6.35626284226909,6.19424031509307,5.23894645448026,7.60407393271316
"3",2.37033412297237,1.75055312358669,2.28559381624915,2.4674059085932,1.89446160296814,3.59698512406828,2.70701498089682,3.3772902552069,1.75015329498896,1.47429422504505,3.45380904867563,2.14382625423829,1.85543176804716,2.16240717627932,2.60345629723481,1.28033500584971,2.87236258082463,2.08417945291351,4.10193040786819,1.71306911862835,2.00764285455153,2.4515647141005,2.58617602390805,3.64941059909997,3.50840683777361,2.07914058759097,3.30814264949507,2.9611051002156,1.8821505071459,3.88942377576328
"6",4.70307848045702,2.94748458981271,3.9609669188033,4.01108534079103,5.21397685814387,5.12473833180603,4.80181990172965,3.82064013426162,4.52977735400765,3.28947408390614,4.14016886350024,3.07807720617395,2.36782204651115,3.28219367705988,4.33116379589928,3.51414696533091,4.95729919504509,3.86722184134052,5.30495212127231,4.32863556692769,4.33450950352573,3.63822413994157,4.08148495928852,4.90555894367971,4.5007388068768,3.76537990509489,4.69841534150268,3.81144582341614,3.19502584086282,3.97331745810269
"9",0.388289509616843,0.0049755589693774,0.782471681755673,2.01084904582665,2.26827307477328,2.32155547262452,0.324074303292246,0.164930675974681,0.830611728807895,0.0352417991990741,2.04633772495266,0.146864382524438,1.15689380635207,0.209015616255133,1.5484734491624,1.47015327544779,0.867666502479612,0.0354301028801878,2.46797916187786,2.6580532673858,2.29488384309862,0.00767573534778876,2.74968407230422,2.09862964741968,0.774232392174589,1.54471577680792,2.16998752550068,0.407430222184971,0.907332799168607,1.07670003440127
"12",4.02880001788542,4.34874328225096,4.87950809922884,3.95954426970398,5.74831325967896,4.38371145160594,4.39299692965972,5.70670392143071,5.69022665346652,4.04353777869896,6.08312614865701,3.84425234695988,5.40121530725288,4.5604688685361,4.48703525073475,4.37090854398934,4.60276581517353,4.47130862717295,6.69091587691336,4.05818165213585,4.0771127488228,6.08173350668941,3.2714987050563,6.7552622782036,6.35860873634349,5.05206142626531,5.72675972545587,3.47843952962451,5.07452173410648,6.32180696160776
"Overall",3.37499351663295,2.81414227884458,3.28094379688693,3.12316473227264,4.43477015371177,3.83164714702598,3.44037863577662,3.82361263242301,3.62477222285239,2.64488976433807,3.92876362413707,2.98047547851826,3.39281127374375,3.11367605602191,3.62255008018976,2.84795699429809,3.65528639095537,3.17000854468755,4.40958591969176,3.85398546859095,3.48166873090758,3.99385671581245,3.43731896775796,4.20602385462223,3.83445942836026,3.17547255230376,3.97936768689111,3.49956383723233,2.99757055872846,4.23238715736958
