x,y,f_1,f_3,f_4,f_5,f_6,Avg_RMSE
103.964566373288,1.35045865047418,6.3609619998469,2.3066017886559997,4.9560406900695995,0.6884866426085985,4.0238661606035,3.6671914563569197
103.964566373288,1.35126882576529,6.475062424344099,2.2085629685460013,4.7118326096153,0.5878600970458976,4.531518313961499,3.7029672827025593
103.964566373288,1.35207900105641,6.350293968976899,2.120204139091399,4.678374545967802,0.5273169360263985,4.671864592652401,3.6696108365429803
103.964566373288,1.35288917634753,6.405723492568399,2.1256188180496984,4.708586902296901,0.684416969116203,4.697180444047003,3.724305325215641
103.965376548579,1.34883829989195,6.644618728199699,2.634379156232299,4.942181327921599,0.9871981699218999,3.840548935227897,3.809785263500679
103.965376548579,1.34964847518306,6.5589427195771,2.3857217797915986,5.015214151436897,0.8700945779419023,3.9972340143451994,3.7654414486185397
103.965376548579,1.35045865047418,6.7865881815029,2.3727642785114007,5.0256800378448006,0.5793545648531975,4.449292313959898,3.8427358753344394
103.965376548579,1.35126882576529,6.909140988160598,2.1969346523395004,4.8978342098717995,0.3140638387586989,4.711572244947103,3.8059091868155397
103.965376548579,1.35207900105641,6.5544590032963015,2.000343220656301,4.6846777788572,0.5702048306953031,4.8187237677393,3.7256817202488812
103.965376548579,1.35288917634753,6.406403080042001,1.896178701795499,4.322678199026601,0.5358421440811014,4.8588055035530004,3.6039815256996404
103.96618672387,1.34802812460083,6.067690738151601,1.8832396831788003,4.398587861796102,0.5965204901592003,4.040591205131999,3.3973259956835404
103.96618672387,1.34883829989195,6.789385357337,2.5046511783009002,4.9424929699933,0.8296657104500014,4.1561281136933985,3.84446466595492
103.96618672387,1.34964847518306,6.8899876725309,2.1385581587330975,4.841851243064401,0.9830975701659028,4.266352329775298,3.8239693948539197
103.96618672387,1.35045865047418,6.235043565438701,1.164991319127303,4.5401158140461,0.9326531389103003,4.533436937049501,3.481248154914381
103.96618672387,1.35126882576529,6.771790906663998,1.895556599276702,4.804451384010701,0.8173180750853,4.710468909043303,3.799917174816001
103.96618672387,1.35207900105641,6.660428555379401,2.111860043930598,4.519371038042401,1.1174106537814978,4.749898315367197,3.831793721300219
103.96618672387,1.35288917634753,6.245090359071501,1.8083922678763997,4.338563565246503,0.9685938055351997,4.818009109252301,3.6357298213963807
103.96618672387,1.35369935163864,6.3236261533741,1.8067423769049995,4.348334024836699,0.8984553375548998,4.915064899141701,3.65844455836248
103.966996899161,1.3464077740186,6.6989478389883,2.350384393558599,4.172136826354997,0.4807022030354986,4.132591316228698,3.5669525156332185
103.966996899161,1.34721794930971,6.9070108474425,2.4182897353061996,4.298997051717102,0.49872517563959917,4.1144521579361,3.6474949936083
103.966996899161,1.34802812460083,6.450633879638001,1.7623425720768005,4.387509800519002,0.8922347813611999,4.4992457014332,3.598393347005641
103.966996899161,1.34883829989195,6.6951458376207995,1.6687430234085028,4.304592262767599,1.196268895044998,4.827406778184098,3.7384313594051997
103.966996899161,1.34964847518306,6.3127766123723,1.6265615512737988,4.6812950584083985,1.086199794869298,4.6068407695529,3.662734757295339
103.966996899161,1.35045865047418,6.6648200832805,1.9115404685522002,4.585616831453898,1.008993001393101,4.611726918060597,3.7565394605480593
103.966996899161,1.35126882576529,6.887742117656501,1.9010813780537,4.580331702883601,1.2163031723683986,4.779001760003499,3.87289202619314
103.966996899161,1.35207900105641,6.815852570308898,2.151637815815203,4.391644354030198,1.9648399865857975,4.8284589835615,4.03048674206032
103.966996899161,1.35288917634753,6.549128283194399,2.0254867703113995,4.368150541056,2.4698171864895,5.158590954459598,4.114234747102179
103.966996899161,1.35369935163864,6.298371085160401,1.8151429103901968,4.2294142443602,0.9190086200636998,4.877841004733199,3.627955572941539
103.967807074453,1.34478742343637,6.5244034781933,2.784265514943801,4.390800633951798,0.36364040093990013,3.9145303603775012,3.59552807768126
103.967807074453,1.34559759872748,6.507120121255401,2.570817851347602,4.299832052178299,0.3847654015378019,3.987730307591299,3.550053146782081
103.967807074453,1.3464077740186,6.2072590848862,1.8047432322899013,3.910506057716699,0.45894545925740005,4.251429997351501,3.3265767663003403
103.967807074453,1.34721794930971,6.839076292789802,1.9865549424147986,4.0160728289795,0.7134002538196995,4.505673892626099,3.6121556421259795
103.967807074453,1.34802812460083,6.1372756581172005,1.0000984629005991,3.6718447890398984,0.9952334150698015,4.928816092727299,3.3466536835709597
