"subzone","na_count","total_pixels","na_percentage","date","image_name","landsat_number","formatted_date"
"CHANGI",1550,8858,17.4983066154888,2003-05-23,"LST_Singapore_2003-05-23.tif",7,"May 23, 2003"
"CHANGI",4759,8858,53.7254459245879,2003-08-27,"LST_Singapore_2003-08-27.tif",7,"Aug 27, 2003"
"CHANGI",1424,8858,16.0758636261007,2003-11-15,"LST_Singapore_2003-11-15.tif",7,"Nov 15, 2003"
"CHANGI",5290,8858,59.7200270941522,2003-12-01,"LST_Singapore_2003-12-01.tif",7,"Dec 01, 2003"
"CHANGI",1705,8858,19.2481372770377,2004-01-02,"LST_Singapore_2004-01-02.tif",7,"Jan 02, 2004"
"CHANGI",3889,8858,43.9038157597652,2004-01-18,"LST_Singapore_2004-01-18.tif",7,"Jan 18, 2004"
"CHANGI",2721,8858,30.7179950327388,2004-02-19,"LST_Singapore_2004-02-19.tif",7,"Feb 19, 2004"
"CHANGI",5290,8858,59.7200270941522,2004-03-06,"LST_Singapore_2004-03-06.tif",7,"Mar 06, 2004"
"CHANGI",5290,8858,59.7200270941522,2004-03-22,"LST_Singapore_2004-03-22.tif",7,"Mar 22, 2004"
"CHANGI",4959,8858,55.9832919394897,2004-04-07,"LST_Singapore_2004-04-07.tif",7,"Apr 07, 2004"
"CHANGI",5250,8858,59.2684578911718,2004-04-23,"LST_Singapore_2004-04-23.tif",7,"Apr 23, 2004"
"CHANGI",750,8858,8.46692255588169,2004-05-09,"LST_Singapore_2004-05-09.tif",7,"May 09, 2004"
"CHANGI",5290,8858,59.7200270941522,2004-05-25,"LST_Singapore_2004-05-25.tif",7,"May 25, 2004"
"CHANGI",1206,8858,13.6148114698578,2004-06-10,"LST_Singapore_2004-06-10.tif",7,"Jun 10, 2004"
"CHANGI",2069,8858,23.357417024159,2004-07-12,"LST_Singapore_2004-07-12.tif",7,"Jul 12, 2004"
"CHANGI",2724,8858,30.7518627229623,2004-10-16,"LST_Singapore_2004-10-16.tif",7,"Oct 16, 2004"
"CHANGI",863,8858,9.7426055543012,2004-11-17,"LST_Singapore_2004-11-17.tif",7,"Nov 17, 2004"
"CHANGI",5290,8858,59.7200270941522,2004-12-19,"LST_Singapore_2004-12-19.tif",7,"Dec 19, 2004"
"CHANGI",1394,8858,15.7371867238654,2005-01-20,"LST_Singapore_2005-01-20.tif",7,"Jan 20, 2005"
"CHANGI",2174,8858,24.5427861819824,2005-02-05,"LST_Singapore_2005-02-05.tif",7,"Feb 05, 2005"
"CHANGI",1749,8858,19.7448634003161,2005-02-21,"LST_Singapore_2005-02-21.tif",7,"Feb 21, 2005"
"CHANGI",1088,8858,12.2826823210657,2005-03-09,"LST_Singapore_2005-03-09.tif",7,"Mar 09, 2005"
"CHANGI",1796,8858,20.275457213818,2005-04-10,"LST_Singapore_2005-04-10.tif",7,"Apr 10, 2005"
"CHANGI",1078,8858,12.1697900203206,2005-04-26,"LST_Singapore_2005-04-26.tif",7,"Apr 26, 2005"
"CHANGI",4064,8858,45.8794310228042,2005-07-15,"LST_Singapore_2005-07-15.tif",7,"Jul 15, 2005"
"CHANGI",5290,8858,59.7200270941522,2005-08-16,"LST_Singapore_2005-08-16.tif",7,"Aug 16, 2005"
"CHANGI",5290,8858,59.7200270941522,2005-09-01,"LST_Singapore_2005-09-01.tif",7,"Sep 01, 2005"
"CHANGI",5241,8858,59.1668548205012,2005-09-17,"LST_Singapore_2005-09-17.tif",7,"Sep 17, 2005"
"CHANGI",4021,8858,45.3939941296004,2005-10-19,"LST_Singapore_2005-10-19.tif",7,"Oct 19, 2005"
"CHANGI",5290,8858,59.7200270941522,2005-11-20,"LST_Singapore_2005-11-20.tif",7,"Nov 20, 2005"
"CHANGI",3159,8858,35.6626778053737,2005-12-06,"LST_Singapore_2005-12-06.tif",7,"Dec 06, 2005"
"CHANGI",4323,8858,48.803341612102,2005-12-22,"LST_Singapore_2005-12-22.tif",7,"Dec 22, 2005"
"CHANGI",1202,8858,13.5696545495597,2006-02-08,"LST_Singapore_2006-02-08.tif",7,"Feb 08, 2006"
"CHANGI",1431,8858,16.1548882366223,2006-03-12,"LST_Singapore_2006-03-12.tif",7,"Mar 12, 2006"
"CHANGI",5290,8858,59.7200270941522,2006-04-13,"LST_Singapore_2006-04-13.tif",7,"Apr 13, 2006"
"CHANGI",871,8858,9.83291939489727,2006-04-29,"LST_Singapore_2006-04-29.tif",7,"Apr 29, 2006"
"CHANGI",5290,8858,59.7200270941522,2006-05-15,"LST_Singapore_2006-05-15.tif",7,"May 15, 2006"
"CHANGI",1797,8858,20.2867464438925,2006-05-31,"LST_Singapore_2006-05-31.tif",7,"May 31, 2006"
"CHANGI",2811,8858,31.7340257394446,2006-06-16,"LST_Singapore_2006-06-16.tif",7,"Jun 16, 2006"
"CHANGI",862,8858,9.73131632422669,2006-07-02,"LST_Singapore_2006-07-02.tif",7,"Jul 02, 2006"
"CHANGI",1108,8858,12.5084669225559,2006-07-18,"LST_Singapore_2006-07-18.tif",7,"Jul 18, 2006"
"CHANGI",4994,8858,56.3784149920975,2006-08-03,"LST_Singapore_2006-08-03.tif",7,"Aug 03, 2006"
"CHANGI",1015,8858,11.4585685256266,2006-09-20,"LST_Singapore_2006-09-20.tif",7,"Sep 20, 2006"
"CHANGI",252,8858,2.84488597877625,2006-11-23,"LST_Singapore_2006-11-23.tif",7,"Nov 23, 2006"
"CHANGI",5290,8858,59.7200270941522,2006-12-25,"LST_Singapore_2006-12-25.tif",7,"Dec 25, 2006"
"CHANGI",4860,8858,54.8656581621133,2007-01-10,"LST_Singapore_2007-01-10.tif",7,"Jan 10, 2007"
"CHANGI",3587,8858,40.4944682772635,2007-02-11,"LST_Singapore_2007-02-11.tif",7,"Feb 11, 2007"
"CHANGI",1696,8858,19.1465342063671,2007-04-16,"LST_Singapore_2007-04-16.tif",7,"Apr 16, 2007"
"CHANGI",5290,8858,59.7200270941522,2007-05-18,"LST_Singapore_2007-05-18.tif",7,"May 18, 2007"
"CHANGI",805,8858,9.08783020997968,2007-06-03,"LST_Singapore_2007-06-03.tif",7,"Jun 03, 2007"
"CHANGI",4509,8858,50.9031384059607,2007-07-05,"LST_Singapore_2007-07-05.tif",7,"Jul 05, 2007"
"CHANGI",600,8858,6.77353804470535,2007-09-07,"LST_Singapore_2007-09-07.tif",7,"Sep 07, 2007"
"CHANGI",2284,8858,25.7846014901784,2007-12-28,"LST_Singapore_2007-12-28.tif",7,"Dec 28, 2007"
"CHANGI",2429,8858,27.4215398509822,2008-01-13,"LST_Singapore_2008-01-13.tif",7,"Jan 13, 2008"
"CHANGI",1648,8858,18.6046511627907,2008-05-20,"LST_Singapore_2008-05-20.tif",7,"May 20, 2008"
"CHANGI",5085,8858,57.4057349288778,2008-06-05,"LST_Singapore_2008-06-05.tif",7,"Jun 05, 2008"
"CHANGI",1332,8858,15.0372544592459,2008-10-11,"LST_Singapore_2008-10-11.tif",7,"Oct 11, 2008"
"CHANGI",1176,8858,13.2761345676225,2009-02-16,"LST_Singapore_2009-02-16.tif",7,"Feb 16, 2009"
"CHANGI",5226,8858,58.9975163693836,2009-03-04,"LST_Singapore_2009-03-04.tif",7,"Mar 04, 2009"
"CHANGI",2002,8858,22.6010386091669,2009-03-20,"LST_Singapore_2009-03-20.tif",7,"Mar 20, 2009"
"CHANGI",424,8858,4.78663355159178,2009-05-07,"LST_Singapore_2009-05-07.tif",7,"May 07, 2009"
"CHANGI",352,8858,3.97380898622714,2009-05-23,"LST_Singapore_2009-05-23.tif",7,"May 23, 2009"
"CHANGI",1975,8858,22.2962293971551,2009-06-08,"LST_Singapore_2009-06-08.tif",7,"Jun 08, 2009"
"CHANGI",5290,8858,59.7200270941522,2009-06-24,"LST_Singapore_2009-06-24.tif",7,"Jun 24, 2009"
"CHANGI",1640,8858,18.5143373221946,2009-07-26,"LST_Singapore_2009-07-26.tif",7,"Jul 26, 2009"
"CHANGI",161,8858,1.81756604199594,2010-02-03,"LST_Singapore_2010-02-03.tif",7,"Feb 03, 2010"
"CHANGI",5290,8858,59.7200270941522,2010-02-19,"LST_Singapore_2010-02-19.tif",7,"Feb 19, 2010"
"CHANGI",212,8858,2.39331677579589,2010-03-07,"LST_Singapore_2010-03-07.tif",7,"Mar 07, 2010"
"CHANGI",5290,8858,59.7200270941522,2010-04-08,"LST_Singapore_2010-04-08.tif",7,"Apr 08, 2010"
"CHANGI",5290,8858,59.7200270941522,2010-04-24,"LST_Singapore_2010-04-24.tif",7,"Apr 24, 2010"
"CHANGI",5290,8858,59.7200270941522,2010-10-17,"LST_Singapore_2010-10-17.tif",7,"Oct 17, 2010"
"CHANGI",5290,8858,59.7200270941522,2010-11-02,"LST_Singapore_2010-11-02.tif",7,"Nov 02, 2010"
"CHANGI",5253,8858,59.3023255813954,2010-11-18,"LST_Singapore_2010-11-18.tif",7,"Nov 18, 2010"
"CHANGI",5290,8858,59.7200270941522,2010-12-20,"LST_Singapore_2010-12-20.tif",7,"Dec 20, 2010"
"CHANGI",5290,8858,59.7200270941522,2011-01-21,"LST_Singapore_2011-01-21.tif",7,"Jan 21, 2011"
"CHANGI",1216,8858,13.7277037706028,2011-02-22,"LST_Singapore_2011-02-22.tif",7,"Feb 22, 2011"
"CHANGI",5290,8858,59.7200270941522,2011-03-26,"LST_Singapore_2011-03-26.tif",7,"Mar 26, 2011"
"CHANGI",5015,8858,56.6154888236622,2011-04-27,"LST_Singapore_2011-04-27.tif",7,"Apr 27, 2011"
"CHANGI",5290,8858,59.7200270941522,2011-08-01,"LST_Singapore_2011-08-01.tif",7,"Aug 01, 2011"
"CHANGI",4349,8858,49.0968615940393,2011-08-17,"LST_Singapore_2011-08-17.tif",7,"Aug 17, 2011"
"CHANGI",1583,8858,17.8708512079476,2011-09-02,"LST_Singapore_2011-09-02.tif",7,"Sep 02, 2011"
"CHANGI",1673,8858,18.8868819146534,2011-09-18,"LST_Singapore_2011-09-18.tif",7,"Sep 18, 2011"
"CHANGI",3019,8858,34.0821855949424,2011-10-20,"LST_Singapore_2011-10-20.tif",7,"Oct 20, 2011"
"CHANGI",2079,8858,23.470309324904,2011-11-05,"LST_Singapore_2011-11-05.tif",7,"Nov 05, 2011"
"CHANGI",1577,8858,17.8031158275006,2011-12-07,"LST_Singapore_2011-12-07.tif",7,"Dec 07, 2011"
"CHANGI",5290,8858,59.7200270941522,2012-01-24,"LST_Singapore_2012-01-24.tif",7,"Jan 24, 2012"
"CHANGI",2165,8858,24.4411831113118,2012-02-09,"LST_Singapore_2012-02-09.tif",7,"Feb 09, 2012"
"CHANGI",1340,8858,15.127568299842,2012-02-25,"LST_Singapore_2012-02-25.tif",7,"Feb 25, 2012"
"CHANGI",2191,8858,24.734703093249,2012-03-28,"LST_Singapore_2012-03-28.tif",7,"Mar 28, 2012"
"CHANGI",1232,8858,13.908331451795,2012-04-13,"LST_Singapore_2012-04-13.tif",7,"Apr 13, 2012"
"CHANGI",256,8858,2.89004289907428,2012-04-29,"LST_Singapore_2012-04-29.tif",7,"Apr 29, 2012"
"CHANGI",2909,8858,32.8403702867464,2012-05-15,"LST_Singapore_2012-05-15.tif",7,"May 15, 2012"
"CHANGI",1103,8858,12.4520207721833,2012-06-16,"LST_Singapore_2012-06-16.tif",7,"Jun 16, 2012"
"CHANGI",835,8858,9.42650711221495,2012-07-02,"LST_Singapore_2012-07-02.tif",7,"Jul 02, 2012"
"CHANGI",1102,8858,12.4407315421088,2012-09-04,"LST_Singapore_2012-09-04.tif",7,"Sep 04, 2012"
"CHANGI",1128,8858,12.7342515240461,2012-09-20,"LST_Singapore_2012-09-20.tif",7,"Sep 20, 2012"
"CHANGI",5290,8858,59.7200270941522,2012-10-06,"LST_Singapore_2012-10-06.tif",7,"Oct 06, 2012"
"CHANGI",4823,8858,54.4479566493565,2012-11-07,"LST_Singapore_2012-11-07.tif",7,"Nov 07, 2012"
"CHANGI",5284,8858,59.6522917137051,2012-11-23,"LST_Singapore_2012-11-23.tif",7,"Nov 23, 2012"
"CHANGI",906,8858,10.2280424475051,2013-01-26,"LST_Singapore_2013-01-26.tif",7,"Jan 26, 2013"
"CHANGI",5290,8858,59.7200270941522,2013-02-11,"LST_Singapore_2013-02-11.tif",7,"Feb 11, 2013"
"CHANGI",3504,8858,39.5574621810793,2013-02-27,"LST_Singapore_2013-02-27.tif",7,"Feb 27, 2013"
"CHANGI",4026,8858,45.4504402799729,2013-03-15,"LST_Singapore_2013-03-15.tif",7,"Mar 15, 2013"
"CHANGI",2418,8858,27.2973583201626,2013-04-16,"LST_Singapore_2013-04-16.tif",7,"Apr 16, 2013"
"CHANGI",5290,8858,59.7200270941522,2013-05-02,"LST_Singapore_2013-05-02.tif",7,"May 02, 2013"
"CHANGI",5290,8858,59.7200270941522,2013-05-18,"LST_Singapore_2013-05-18.tif",7,"May 18, 2013"
"CHANGI",1390,8858,15.6920298035674,2013-06-03,"LST_Singapore_2013-06-03.tif",7,"Jun 03, 2013"
"CHANGI",698,8858,7.87988259200723,2013-06-19,"LST_Singapore_2013-06-19.tif",7,"Jun 19, 2013"
"CHANGI",2020,8858,22.804244750508,2013-07-21,"LST_Singapore_2013-07-21.tif",7,"Jul 21, 2013"
"CHANGI",1798,8858,20.298035673967,2013-08-22,"LST_Singapore_2013-08-22.tif",7,"Aug 22, 2013"
"CHANGI",5287,8858,59.6861594039286,2013-10-25,"LST_Singapore_2013-10-25.tif",7,"Oct 25, 2013"
"CHANGI",5290,8858,59.7200270941522,2013-12-12,"LST_Singapore_2013-12-12.tif",7,"Dec 12, 2013"
"CHANGI",3406,8858,38.4511176337774,2013-12-28,"LST_Singapore_2013-12-28.tif",7,"Dec 28, 2013"
"CHANGI",5290,8858,59.7200270941522,2014-01-13,"LST_Singapore_2014-01-13.tif",7,"Jan 13, 2014"
"CHANGI",4776,8858,53.9173628358546,2014-01-29,"LST_Singapore_2014-01-29.tif",7,"Jan 29, 2014"
"CHANGI",5290,8858,59.7200270941522,2014-02-14,"LST_Singapore_2014-02-14.tif",7,"Feb 14, 2014"
"CHANGI",724,8858,8.17340257394446,2014-03-02,"LST_Singapore_2014-03-02.tif",7,"Mar 02, 2014"
"CHANGI",3563,8858,40.2235267554753,2014-03-18,"LST_Singapore_2014-03-18.tif",7,"Mar 18, 2014"
"CHANGI",2114,8858,23.8654323775119,2014-04-03,"LST_Singapore_2014-04-03.tif",7,"Apr 03, 2014"
"CHANGI",1848,8858,20.8624971776925,2014-04-19,"LST_Singapore_2014-04-19.tif",7,"Apr 19, 2014"
"CHANGI",5290,8858,59.7200270941522,2014-06-22,"LST_Singapore_2014-06-22.tif",7,"Jun 22, 2014"
"CHANGI",5290,8858,59.7200270941522,2014-07-08,"LST_Singapore_2014-07-08.tif",7,"Jul 08, 2014"
"CHANGI",5290,8858,59.7200270941522,2014-07-24,"LST_Singapore_2014-07-24.tif",7,"Jul 24, 2014"
"CHANGI",2764,8858,31.2034319259426,2014-08-09,"LST_Singapore_2014-08-09.tif",7,"Aug 09, 2014"
"CHANGI",913,8858,10.3070670580266,2014-08-25,"LST_Singapore_2014-08-25.tif",7,"Aug 25, 2014"
"CHANGI",1983,8858,22.3865432377512,2014-10-28,"LST_Singapore_2014-10-28.tif",7,"Oct 28, 2014"
"CHANGI",2937,8858,33.1564687288327,2014-11-13,"LST_Singapore_2014-11-13.tif",7,"Nov 13, 2014"
"CHANGI",4283,8858,48.3517724091217,2014-11-29,"LST_Singapore_2014-11-29.tif",7,"Nov 29, 2014"
"CHANGI",5046,8858,56.965454955972,2014-12-15,"LST_Singapore_2014-12-15.tif",7,"Dec 15, 2014"
"CHANGI",2563,8858,28.9342966809664,2015-01-16,"LST_Singapore_2015-01-16.tif",7,"Jan 16, 2015"
"CHANGI",2240,8858,25.2878753669,2015-02-01,"LST_Singapore_2015-02-01.tif",7,"Feb 01, 2015"
"CHANGI",2456,8858,27.7263490629939,2015-02-17,"LST_Singapore_2015-02-17.tif",7,"Feb 17, 2015"
"CHANGI",1137,8858,12.8358545947166,2015-03-05,"LST_Singapore_2015-03-05.tif",7,"Mar 05, 2015"
"CHANGI",1177,8858,13.287423797697,2015-03-21,"LST_Singapore_2015-03-21.tif",7,"Mar 21, 2015"
"CHANGI",1118,8858,12.621359223301,2015-04-06,"LST_Singapore_2015-04-06.tif",7,"Apr 06, 2015"
"CHANGI",834,8858,9.41521788214044,2015-04-22,"LST_Singapore_2015-04-22.tif",7,"Apr 22, 2015"
"CHANGI",5289,8858,59.7087378640777,2015-05-08,"LST_Singapore_2015-05-08.tif",7,"May 08, 2015"
"CHANGI",2135,8858,24.1025062090765,2015-05-24,"LST_Singapore_2015-05-24.tif",7,"May 24, 2015"
"CHANGI",5290,8858,59.7200270941522,2015-06-09,"LST_Singapore_2015-06-09.tif",7,"Jun 09, 2015"
"CHANGI",1480,8858,16.7080605102732,2015-07-27,"LST_Singapore_2015-07-27.tif",7,"Jul 27, 2015"
"CHANGI",826,8858,9.32490404154437,2015-08-28,"LST_Singapore_2015-08-28.tif",7,"Aug 28, 2015"
"CHANGI",5290,8858,59.7200270941522,2015-09-13,"LST_Singapore_2015-09-13.tif",7,"Sep 13, 2015"
"CHANGI",5290,8858,59.7200270941522,2015-09-29,"LST_Singapore_2015-09-29.tif",7,"Sep 29, 2015"
"CHANGI",883,8858,9.96839015579138,2015-10-15,"LST_Singapore_2015-10-15.tif",7,"Oct 15, 2015"
"CHANGI",5290,8858,59.7200270941522,2015-10-31,"LST_Singapore_2015-10-31.tif",7,"Oct 31, 2015"
"CHANGI",5290,8858,59.7200270941522,2015-12-18,"LST_Singapore_2015-12-18.tif",7,"Dec 18, 2015"
"CHANGI",5290,8858,59.7200270941522,2016-03-07,"LST_Singapore_2016-03-07.tif",7,"Mar 07, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-03-23,"LST_Singapore_2016-03-23.tif",7,"Mar 23, 2016"
"CHANGI",1491,8858,16.8322420410928,2016-04-08,"LST_Singapore_2016-04-08.tif",7,"Apr 08, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-04-24,"LST_Singapore_2016-04-24.tif",7,"Apr 24, 2016"
"CHANGI",1406,8858,15.8726574847595,2016-05-10,"LST_Singapore_2016-05-10.tif",7,"May 10, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-05-26,"LST_Singapore_2016-05-26.tif",7,"May 26, 2016"
"CHANGI",5286,8858,59.6748701738541,2016-07-13,"LST_Singapore_2016-07-13.tif",7,"Jul 13, 2016"
"CHANGI",5012,8858,56.5816211334387,2016-07-29,"LST_Singapore_2016-07-29.tif",7,"Jul 29, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-08-14,"LST_Singapore_2016-08-14.tif",7,"Aug 14, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-08-30,"LST_Singapore_2016-08-30.tif",7,"Aug 30, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-09-15,"LST_Singapore_2016-09-15.tif",7,"Sep 15, 2016"
"CHANGI",5078,8858,57.3267103183563,2016-10-01,"LST_Singapore_2016-10-01.tif",7,"Oct 01, 2016"
"CHANGI",5066,8858,57.1912395574622,2016-11-18,"LST_Singapore_2016-11-18.tif",7,"Nov 18, 2016"
"CHANGI",955,8858,10.781214721156,2016-12-04,"LST_Singapore_2016-12-04.tif",7,"Dec 04, 2016"
"CHANGI",5290,8858,59.7200270941522,2016-12-20,"LST_Singapore_2016-12-20.tif",7,"Dec 20, 2016"
"CHANGI",5290,8858,59.7200270941522,2017-01-05,"LST_Singapore_2017-01-05.tif",7,"Jan 05, 2017"
"CHANGI",5290,8858,59.7200270941522,2017-01-21,"LST_Singapore_2017-01-21.tif",7,"Jan 21, 2017"
"CHANGI",5080,8858,57.3492887785053,2017-02-06,"LST_Singapore_2017-02-06.tif",7,"Feb 06, 2017"
"CHANGI",5229,8858,59.0313840596071,2017-02-22,"LST_Singapore_2017-02-22.tif",7,"Feb 22, 2017"
"CHANGI",5290,8858,59.7200270941522,2017-03-10,"LST_Singapore_2017-03-10.tif",7,"Mar 10, 2017"
"CHANGI",1396,8858,15.7597651840145,2017-03-26,"LST_Singapore_2017-03-26.tif",7,"Mar 26, 2017"
"CHANGI",736,8858,8.30887333483856,2017-04-11,"LST_Singapore_2017-04-11.tif",7,"Apr 11, 2017"
"CHANGI",5290,8858,59.7200270941522,2017-04-27,"LST_Singapore_2017-04-27.tif",7,"Apr 27, 2017"
"CHANGI",1475,8858,16.6516143599007,2017-05-13,"LST_Singapore_2017-05-13.tif",7,"May 13, 2017"
"CHANGI",3144,8858,35.493339354256,2017-05-29,"LST_Singapore_2017-05-29.tif",7,"May 29, 2017"
"CHANGI",5281,8858,59.6184240234816,2017-06-14,"LST_Singapore_2017-06-14.tif",7,"Jun 14, 2017"
"CHANGI",1832,8858,20.6818694965003,2017-06-30,"LST_Singapore_2017-06-30.tif",7,"Jun 30, 2017"
"CHANGI",1220,8858,13.7728606909009,2017-07-16,"LST_Singapore_2017-07-16.tif",7,"Jul 16, 2017"
"CHANGI",3225,8858,36.4077669902913,2017-08-01,"LST_Singapore_2017-08-01.tif",7,"Aug 01, 2017"
"CHANGI",776,8858,8.76044253781892,2017-09-02,"LST_Singapore_2017-09-02.tif",7,"Sep 02, 2017"
"CHANGI",5221,8858,58.9410702190111,2017-10-20,"LST_Singapore_2017-10-20.tif",7,"Oct 20, 2017"
"CHANGI",5290,8858,59.7200270941522,2017-11-05,"LST_Singapore_2017-11-05.tif",7,"Nov 05, 2017"
"CHANGI",1953,8858,22.0478663355159,2017-12-23,"LST_Singapore_2017-12-23.tif",7,"Dec 23, 2017"
"CHANGI",5288,8858,59.6974486340032,2018-01-08,"LST_Singapore_2018-01-08.tif",7,"Jan 08, 2018"
